Year;Ticker;ID_ISIN;Name;ESG;ENVIRONMENTAL;SOCIAL;GOVERNANCE;AIR_QUALITY;CLIMATE_EXPOS;ECOLOGICAL_IMPACT;ENERGY_MANAGEMENT;ENV_SPPLY_CHAIN_MGMT;GHG_EMISSIONS_MNGT;SUSTAINABLE_FINANCE;SUSTAINABLE_PRODUCT;WASTE_MANAGEMENT;WATER_MANAGEMENT;ACCESS_AFFORDABILITY;COMM_RIGHTS_RELATION;CUSTOMER_WELFARE;DATA_SEC_CSTMR_PRIVCY;ETHICS_COMPLIANCE;LABOR_EMPLYMNT_PRACT;MARKETING_LABELING;OHS_MGMT;OPERATION_RISK_MGMT;PRODUCT_QUALITY_MNGT;SOCIAL_SPPL_CHN_MGMT;BOD_DIRECTOR_ROLES;BOD_DIVERSITY;BOD_INDEPENDENCE;BOD_REFRESHMENT;INCENTIVE_STRUCTURE;PAY_PERFORMANCE;PAY_GOVERNANCE;DIRECTOR_VOTING;SHAREHOLDER_POLICIES;AUDIT_CMTE;AUDIT_OUTCOME;EXTERNAL_AUDITOR;SALES_REV_TURN;EBITDA;EBIT;PRETAX_INC;NET_INCOME;BS_TOT_ASSET;EARN_FOR_COMMON;TOT_COMMON_EQY;TOTAL_EQUITY;BS_LT_BORROW;IS_RD_EXPEND;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_SH_OUT;PX_LAST;BS_TOT_LIAB2;PFD_EQTY_HYBRID_CAPITAL;MINORITY_NONCONTROLLING_INTEREST;CURRENT_FULL_FISCAL_YEAR_END;EBIT_ON_ASSET;RETURN_ON_ASSET;RETURN_COM_EQY;TOBIN_Q_RATIO;SALES_GROWTH;LT_DEBT_TO_TOT_ASSET;RD_EXPEND_TO_NET_SALES;CUR_RATIO;BETA_RAW_OVERRIDABLE;GICS_SECTOR_NAME
2021;AAPL UW Equity;US0378331005;Apple Inc;5,70;5,65;4,83;7,35;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,65;#N/A N/A;#N/A N/A;#N/A N/A;10,00;#N/A N/A;10,00;#N/A N/A;3,57;#N/A N/A;#N/A N/A;#N/A N/A;3,00;6,13;7,18;5,91;10,00;1,58;8,95;7,76;7,51;7,42;9,14;10,00;10,00;6,77; $378.323.000.000,00 ; $128.218.000.000,00 ; $116.903.000.000,00 ; $116.869.000.000,00 ; $100.555.000.000,00 ; $381.191.000.000,00 ; $100.555.000.000,00 ; $71.932.000.000,00 ; $71.932.000.000,00 ; $106.629.000.000,00 ; $23.057.000.000,00 ; $153.154.000.000,00 ; $147.574.000.000,00 ; 16.340.851.000,00 ; $177,57 ; $309.259.000.000,00 ; $-   ; $-   ;30.09.2023;30,67%;27,35%;145,57%;8,42;28,62%;27,97%;6,09%;1,04;1,05;Information Technology
2022;AAPL UW Equity;US0378331005;Apple Inc;6,01;5,65;5,36;7,57;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,65;#N/A N/A;#N/A N/A;#N/A N/A;10,00;#N/A N/A;10,00;#N/A N/A;5,27;#N/A N/A;#N/A N/A;#N/A N/A;3,00;6,13;7,10;5,05;10,00;1,71;8,77;8,16;8,71;8,85;9,14;9,49;10,00;7,26; $387.537.000.000,00 ; $125.288.000.000,00 ; $113.965.000.000,00 ; $113.485.000.000,00 ; $95.171.000.000,00 ; $346.747.000.000,00 ; $95.171.000.000,00 ; $56.727.000.000,00 ; $56.727.000.000,00 ; $99.627.000.000,00 ; $27.654.000.000,00 ; $128.777.000.000,00 ; $137.286.000.000,00 ; 15.842.407.000,00 ; $129,93 ; $290.020.000.000,00 ; $-   ; $-   ;30.09.2023;32,87%;26,15%;147,94%;6,77;2,44%;28,73%;7,14%;0,94;1,09;Information Technology
2023;AAPL UW Equity;US0378331005;Apple Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $385.706.000.000,00 ; $130.109.000.000,00 ; $118.658.000.000,00 ; $118.436.000.000,00 ; $100.913.000.000,00 ; $353.514.000.000,00 ; $100.913.000.000,00 ; $74.100.000.000,00 ; $74.100.000.000,00 ; $95.088.000.000,00 ; $29.902.000.000,00 ; $143.692.000.000,00 ; $133.973.000.000,00 ; 15.460.223.000,00 ; $192,53 ; $279.414.000.000,00 ; $-   ; $-   ;30.09.2023;33,57%;28,82%;154,27%;8,56;-0,47%;26,90%;7,75%;1,07;1,22;Information Technology
2015;ABBV UN Equity;US00287Y1091;AbbVie Inc;2,80;5,77;0,82;6,47;#N/A N/A;#N/A N/A;#N/A N/A;5,96;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,59;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;2,19;2,27;0,00;#N/A N/A;#N/A N/A;0,60;3,00;7,97;2,66;8,17;10,00;8,07;9,39;8,88;5,15;3,75;10,00;10,00;4,73; $22.859.000.000,00 ; $8.373.000.000,00 ; $7.537.000.000,00 ; $6.645.000.000,00 ; $5.144.000.000,00 ; $53.050.000.000,00 ; $5.118.000.000,00 ; $3.945.000.000,00 ; $3.945.000.000,00 ; $29.240.000.000,00 ; $4.285.000.000,00 ; $16.314.000.000,00 ; $10.894.000.000,00 ; 1.609.892.935,00 ; $59,24 ; $49.105.000.000,00 ; $-   ; $-   ;31.12.2023;14,21%;12,77%;179,99%;5,83;14,52%;55,12%;18,75%;1,50;1,32;Health Care
2016;ABBV UN Equity;US00287Y1091;AbbVie Inc;3,07;6,08;1,07;6,67;#N/A N/A;#N/A N/A;#N/A N/A;6,31;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,85;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;2,19;6,90;0,00;#N/A N/A;#N/A N/A;0,60;3,00;8,01;2,98;8,17;10,00;8,26;9,26;8,94;5,40;3,75;10,00;10,00;6,29; $25.638.000.000,00 ; $10.573.000.000,00 ; $9.384.000.000,00 ; $7.884.000.000,00 ; $5.953.000.000,00 ; $66.099.000.000,00 ; $5.923.000.000,00 ; $4.636.000.000,00 ; $4.636.000.000,00 ; $36.440.000.000,00 ; $4.366.000.000,00 ; $16.187.000.000,00 ; $9.781.000.000,00 ; 1.592.512.724,00 ; $62,62 ; $61.463.000.000,00 ; $-   ; $-   ;31.12.2023;14,20%;9,99%;138,05%;4,82;12,16%;55,13%;17,03%;1,65;1,22;Health Care
2017;ABBV UN Equity;US00287Y1091;AbbVie Inc;3,35;5,58;1,44;6,82;#N/A N/A;#N/A N/A;#N/A N/A;5,19;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,98;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;2,19;7,78;2,14;#N/A N/A;#N/A N/A;0,60;3,00;8,26;4,09;8,17;9,98;8,29;8,62;8,93;5,11;3,75;10,00;10,00;7,00; $28.216.000.000,00 ; $11.093.000.000,00 ; $9.592.000.000,00 ; $7.727.000.000,00 ; $5.309.000.000,00 ; $70.786.000.000,00 ; $5.283.000.000,00 ; $5.097.000.000,00 ; $5.097.000.000,00 ; $30.953.000.000,00 ; $4.982.000.000,00 ; $21.223.000.000,00 ; $16.641.000.000,00 ; 1.592.131.025,00 ; $96,71 ; $65.689.000.000,00 ; $-   ; $-   ;31.12.2023;13,55%;7,76%;108,56%;4,56;10,06%;43,73%;17,66%;1,28;1,00;Health Care
2018;ABBV UN Equity;US00287Y1091;AbbVie Inc;3,53;5,75;1,62;6,97;#N/A N/A;#N/A N/A;#N/A N/A;5,40;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,12;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;2,19;7,67;2,14;#N/A N/A;#N/A N/A;1,20;3,00;8,03;4,98;8,17;9,79;8,22;8,77;8,58;5,30;3,75;10,00;10,00;7,22; $32.753.000.000,00 ; $8.148.000.000,00 ; $6.383.000.000,00 ; $5.197.000.000,00 ; $5.687.000.000,00 ; $59.352.000.000,00 ; $5.657.000.000,00 ; $-8.446.000.000,00 ; $-8.446.000.000,00 ; $35.002.000.000,00 ; $10.329.000.000,00 ; $16.945.000.000,00 ; $17.239.000.000,00 ; 1.478.824.398,00 ; $92,19 ; $67.798.000.000,00 ; $-   ; $-   ;31.12.2023;10,75%;8,74%;#WERT!;5,17;16,08%;58,97%;31,54%;0,98;1,29;Health Care
2019;ABBV UN Equity;US00287Y1091;AbbVie Inc;3,65;5,80;1,77;6,98;#N/A N/A;#N/A N/A;#N/A N/A;5,55;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,06;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;2,19;7,24;2,14;#N/A N/A;#N/A N/A;1,80;3,00;8,07;4,89;8,17;8,90;8,43;8,49;8,82;5,30;3,75;10,00;10,00;7,15; $33.266.000.000,00 ; $15.124.000.000,00 ; $12.983.000.000,00 ; $8.426.000.000,00 ; $7.882.000.000,00 ; $89.115.000.000,00 ; $7.842.000.000,00 ; $-8.172.000.000,00 ; $-8.172.000.000,00 ; $63.226.000.000,00 ; $6.407.000.000,00 ; $49.519.000.000,00 ; $15.585.000.000,00 ; 1.478.911.462,00 ; $88,54 ; $97.287.000.000,00 ; $-   ; $-   ;31.12.2023;14,57%;10,62%;#WERT!;3,77;1,57%;70,95%;19,26%;3,18;1,21;Health Care
2020;ABBV UN Equity;US00287Y1091;AbbVie Inc;4,27;6,20;2,79;6,55;#N/A N/A;#N/A N/A;#N/A N/A;5,94;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,47;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;2,19;8,18;2,14;#N/A N/A;#N/A N/A;1,80;3,00;8,50;4,48;8,17;7,25;8,35;7,98;8,77;3,74;3,75;10,00;10,00;5,46; $45.804.000.000,00 ; $18.026.000.000,00 ; $11.363.000.000,00 ; $3.398.000.000,00 ; $4.616.000.000,00 ; $150.565.000.000,00 ; $4.556.000.000,00 ; $13.076.000.000,00 ; $13.097.000.000,00 ; $78.386.000.000,00 ; $6.379.000.000,00 ; $24.173.000.000,00 ; $28.661.000.000,00 ; 1.765.132.819,00 ; $107,15 ; $137.468.000.000,00 ; $-   ; $21.000.000,00 ;31.12.2023;7,55%;3,85%;#WERT!;2,50;37,69%;52,06%;13,93%;0,84;0,94;Health Care
2021;ABBV UN Equity;US00287Y1091;AbbVie Inc;4,80;6,25;3,50;6,77;#N/A N/A;#N/A N/A;#N/A N/A;6,13;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,38;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;2,61;7,36;2,14;#N/A N/A;#N/A N/A;4,42;3,00;8,47;4,39;8,17;4,86;9,83;7,27;8,74;4,77;3,75;10,00;10,00;7,51; $56.197.000.000,00 ; $26.671.000.000,00 ; $17.924.000.000,00 ; $12.989.000.000,00 ; $11.542.000.000,00 ; $146.529.000.000,00 ; $11.468.000.000,00 ; $15.408.000.000,00 ; $15.436.000.000,00 ; $64.902.000.000,00 ; $6.922.000.000,00 ; $27.928.000.000,00 ; $35.194.000.000,00 ; 1.768.337.696,00 ; $135,40 ; $131.093.000.000,00 ; $-   ; $28.000.000,00 ;31.12.2023;12,23%;7,77%;80,52%;2,53;22,69%;44,29%;12,32%;0,79;0,77;Health Care
2022;ABBV UN Equity;US00287Y1091;AbbVie Inc;4,83;6,38;3,53;6,78;#N/A N/A;#N/A N/A;#N/A N/A;6,43;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,34;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;2,61;7,79;2,14;#N/A N/A;#N/A N/A;4,42;3,00;8,63;4,58;8,17;3,56;9,68;7,74;8,90;5,46;3,75;10,00;10,00;6,37; $58.054.000.000,00 ; $26.785.000.000,00 ; $18.117.000.000,00 ; $13.477.000.000,00 ; $11.836.000.000,00 ; $138.805.000.000,00 ; $11.782.000.000,00 ; $17.254.000.000,00 ; $17.287.000.000,00 ; $59.889.000.000,00 ; $6.510.000.000,00 ; $28.463.000.000,00 ; $29.538.000.000,00 ; 1.769.181.294,00 ; $161,61 ; $121.518.000.000,00 ; $-   ; $33.000.000,00 ;31.12.2023;13,05%;8,30%;72,15%;2,94;3,30%;43,15%;11,21%;0,96;0,69;Health Care
2023;ABBV UN Equity;US00287Y1091;AbbVie Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $54.318.000.000,00 ; $21.644.000.000,00 ; $12.757.000.000,00 ; $6.250.000.000,00 ; $4.863.000.000,00 ; $134.711.000.000,00 ; $4.820.000.000,00 ; $10.360.000.000,00 ; $10.397.000.000,00 ; $52.929.000.000,00 ; $7.675.000.000,00 ; $33.002.000.000,00 ; $37.841.000.000,00 ; 1.765.940.733,00 ; $154,97 ; $124.314.000.000,00 ; $-   ; $37.000.000,00 ;31.12.2023;9,47%;3,56%;34,91%;2,70;-6,44%;39,29%;14,13%;0,87;0,47;Health Care
2015;ABNB UW Equity;US0090661010;Airbnb Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ;31.12.2023;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#N/A;#N/A N/A;Consumer Discretionary
2016;ABNB UW Equity;US0090661010;Airbnb Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ;31.12.2023;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#N/A;#N/A N/A;Consumer Discretionary
2017;ABNB UW Equity;US0090661010;Airbnb Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $2.561.721.000,00 ; $-2.020.000,00 ; $-81.362.000,00 ; $-59.099.000,00 ; $-70.046.000,00 ; #N/A ; $-70.046.000,00 ; #N/A ; #N/A ; #N/A ; $-   ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ; #N/A ;31.12.2023;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;0,00%;#N/A;#N/A N/A;Consumer Discretionary
2018;ABNB UW Equity;US0090661010;Airbnb Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $3.651.985.000,00 ; $101.145.000,00 ; $18.744.000,00 ; $47.033.000,00 ; $-16.860.000,00 ; $6.613.089.000,00 ; $-16.860.000,00 ; $-536.471.000,00 ; $2.714.194.000,00 ; $-   ; $579.193.000,00 ; $5.874.532.000,00 ; $3.736.010.000,00 ; 516.183.584,00 ; #N/A ; $3.898.895.000,00 ; $3.250.665.000,00 ; $-   ;31.12.2023;0,28%;#WERT!;#WERT!;7,75;42,56%;0,00%;15,86%;1,57;#N/A N/A;Consumer Discretionary
2019;ABNB UW Equity;US0090661010;Airbnb Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $4.805.239.000,00 ; $-305.344.000,00 ; $-501.543.000,00 ; $-411.703.000,00 ; $-674.339.000,00 ; $8.310.119.000,00 ; $-674.339.000,00 ; $-826.848.000,00 ; $2.423.817.000,00 ; $381.374.000,00 ; $976.695.000,00 ; $6.561.443.000,00 ; $5.233.764.000,00 ; 527.628.636,00 ; #N/A ; $5.886.302.000,00 ; $3.250.665.000,00 ; $-   ;31.12.2023;-6,04%;-9,04%;#WERT!;6,53;31,58%;4,59%;20,33%;1,25;#N/A N/A;Consumer Discretionary
2020;ABNB UW Equity;US0090661010;Airbnb Inc;4,03;2,67;4,04;5,58;#N/A N/A;#N/A N/A;#N/A N/A;5,58;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;4,16;8,89;1,33;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;7,66;7,17;4,71;10,00;4,46;5,61;9,97;5,69;0,99;3,66;10,00;8,31; $3.378.199.000,00 ; $-3.373.166.000,00 ; $-3.590.147.000,00 ; $-4.681.938.000,00 ; $-4.584.716.000,00 ; $10.491.499.000,00 ; $-4.584.716.000,00 ; $2.901.783.000,00 ; $2.901.783.000,00 ; $2.246.467.000,00 ; $2.752.872.000,00 ; $8.916.386.000,00 ; $5.139.779.000,00 ; 625.197.000,00 ; $146,80 ; $7.589.716.000,00 ; $-   ; $-   ;31.12.2023;-34,22%;-48,77%;#WERT!;10,64;-29,70%;21,41%;81,49%;1,73;10,19;Consumer Discretionary
2021;ABNB UW Equity;US0090661010;Airbnb Inc;3,23;2,53;2,28;6,02;#N/A N/A;#N/A N/A;#N/A N/A;5,28;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;2,90;2,53;1,33;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,46;7,18;4,71;10,00;4,48;7,13;9,98;5,51;0,99;9,49;10,00;7,94; $5.992.000.000,00 ; $650.000.000,00 ; $429.000.000,00 ; $-300.000.000,00 ; $-352.000.000,00 ; $13.708.000.000,00 ; $-352.000.000,00 ; $4.775.000.000,00 ; $4.775.000.000,00 ; $2.355.000.000,00 ; $1.425.000.000,00 ; $12.386.000.000,00 ; $6.359.000.000,00 ; 659.524.000,00 ; $166,49 ; $8.933.000.000,00 ; $-   ; $-   ;31.12.2023;3,13%;-2,91%;-9,17%;8,66;77,37%;17,18%;23,78%;1,95;1,45;Consumer Discretionary
2022;ABNB UW Equity;US0090661010;Airbnb Inc;2,61;2,55;1,13;6,04;#N/A N/A;#N/A N/A;#N/A N/A;5,31;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;0,41;2,53;1,33;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,49;7,17;4,71;10,00;4,44;7,06;9,86;5,43;0,99;9,49;10,00;8,88; $8.399.000.000,00 ; $1.960.000.000,00 ; $1.802.000.000,00 ; $1.989.000.000,00 ; $1.893.000.000,00 ; $16.038.000.000,00 ; $1.893.000.000,00 ; $5.560.000.000,00 ; $5.560.000.000,00 ; $2.282.000.000,00 ; $1.502.000.000,00 ; $14.861.000.000,00 ; $7.978.000.000,00 ; 640.000.000,00 ; $85,50 ; $10.478.000.000,00 ; $-   ; $-   ;31.12.2023;11,24%;12,73%;36,63%;4,07;40,17%;14,23%;17,88%;1,86;1,50;Consumer Discretionary
2023;ABNB UW Equity;US0090661010;Airbnb Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $9.917.000.000,00 ; $1.620.000.000,00 ; $1.518.000.000,00 ; $2.102.000.000,00 ; $4.792.000.000,00 ; $20.645.000.000,00 ; $4.792.000.000,00 ; $8.165.000.000,00 ; $8.165.000.000,00 ; $2.243.000.000,00 ; $1.722.000.000,00 ; $16.509.000.000,00 ; $9.950.000.000,00 ; 638.000.000,00 ; $136,14 ; $12.480.000.000,00 ; $-   ; $-   ;31.12.2023;7,35%;26,13%;69,83%;5,75;18,07%;10,86%;17,36%;1,66;1,62;Consumer Discretionary
2015;ABT UN Equity;US0028241000;Abbott Laboratories;2,90;1,50;1,28;7,30;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;3,33;#N/A N/A;#N/A N/A;0,00;0,59;2,00;0,00;#N/A N/A;#N/A N/A;3,00;3,00;2,26;6,49;8,17;3,34;7,93;8,40;9,26;9,01;9,14;10,00;10,00;7,27; $20.405.000.000,00 ; $4.339.000.000,00 ; $2.867.000.000,00 ; $3.183.000.000,00 ; $4.423.000.000,00 ; $41.247.000.000,00 ; $4.423.000.000,00 ; $21.211.000.000,00 ; $21.326.000.000,00 ; $5.871.000.000,00 ; $1.405.000.000,00 ; $14.155.000.000,00 ; $9.186.000.000,00 ; 1.472.665.052,00 ; $44,91 ; $19.921.000.000,00 ; $-   ; $115.000.000,00 ;31.12.2023;6,95%;10,73%;20,70%;4,41;0,78%;14,23%;6,89%;1,54;1,02;Health Care
2016;ABT UN Equity;US0028241000;Abbott Laboratories;3,63;1,50;2,31;7,38;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;6,67;#N/A N/A;#N/A N/A;1,50;0,59;2,00;3,00;#N/A N/A;#N/A N/A;3,00;3,00;2,37;6,39;8,17;2,99;8,71;9,49;9,33;8,93;9,14;10,00;10,00;6,93; $20.853.000.000,00 ; $4.703.000.000,00 ; $3.185.000.000,00 ; $1.413.000.000,00 ; $1.400.000.000,00 ; $52.666.000.000,00 ; $1.400.000.000,00 ; $20.538.000.000,00 ; $20.717.000.000,00 ; $20.681.000.000,00 ; $1.422.000.000,00 ; $26.776.000.000,00 ; $6.660.000.000,00 ; 1.472.869.205,00 ; $38,41 ; $31.949.000.000,00 ; $-   ; $179.000.000,00 ;31.12.2023;6,05%;2,98%;6,71%;3,68;2,20%;39,27%;6,82%;4,02;1,03;Health Care
2017;ABT UN Equity;US0028241000;Abbott Laboratories;3,95;1,50;2,94;7,08;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;6,67;#N/A N/A;#N/A N/A;1,50;2,19;3,00;3,00;#N/A N/A;#N/A N/A;3,00;7,52;2,60;5,69;8,17;1,62;9,10;9,19;8,06;8,92;9,14;10,00;10,00;7,15; $27.390.000.000,00 ; $5.659.000.000,00 ; $1.726.000.000,00 ; $2.231.000.000,00 ; $477.000.000,00 ; $76.250.000.000,00 ; $477.000.000,00 ; $30.897.000.000,00 ; $31.098.000.000,00 ; $27.210.000.000,00 ; $2.235.000.000,00 ; $20.147.000.000,00 ; $8.912.000.000,00 ; 1.743.602.469,00 ; $57,07 ; $45.152.000.000,00 ; $-   ; $201.000.000,00 ;31.12.2023;2,26%;0,74%;1,85%;3,11;31,35%;35,69%;8,16%;2,26;1,01;Health Care
2018;ABT UN Equity;US0028241000;Abbott Laboratories;4,14;1,50;3,17;7,23;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1,50;#N/A N/A;#N/A N/A;6,67;#N/A N/A;#N/A N/A;1,50;2,19;6,24;3,00;#N/A N/A;#N/A N/A;3,00;7,52;2,47;7,23;8,17;1,69;9,21;9,44;9,23;8,99;9,14;10,00;10,00;5,53; $30.578.000.000,00 ; $6.960.000.000,00 ; $3.650.000.000,00 ; $2.873.000.000,00 ; $2.368.000.000,00 ; $67.173.000.000,00 ; $2.368.000.000,00 ; $30.524.000.000,00 ; $30.722.000.000,00 ; $19.359.000.000,00 ; $2.300.000.000,00 ; $14.632.000.000,00 ; $9.012.000.000,00 ; 1.755.619.422,00 ; $72,33 ; $36.451.000.000,00 ; $-   ; $198.000.000,00 ;31.12.2023;5,43%;3,30%;7,71%;3,42;11,64%;28,82%;7,52%;1,62;1,15;Health Care
